1770728360,ENTRY,INJUSDT,SHORT,78.99934167215274,3.038,vwap_bounce,VWAP Bounce Scalp,,VWAP rejection short | Dist=-0.076% | RSI=55.6
1770728439,ENTRY,INJUSDT,SHORT,78.97334649555775,3.039,vwap_bounce,VWAP Bounce Scalp,,VWAP rejection short | Dist=-0.028% | RSI=50.0
1770729947,CLOSE_MAX_AGE,INJ,SHORT,157.8,,,,,max_age
1770731763,ENTRY,LTCUSDT,LONG,3.750234389649353,53.33,bb_squeeze,Bollinger Squeeze Breakout,,BB squeeze breakout UP | BW=0.33% | ATR=0.094%
1770733336,CLOSE_MAX_AGE,LTC,LONG,3.75,,,,,max_age
1770734362,ENTRY,DOGEUSDT,SHORT,979.5918367346933,0.09248,bb_kc_squeeze,BB+Keltner Squeeze Breakout,,BB+KC Squeeze SHORT FIRE | Momentum=-0.00↓ | ADX=17.7 | Vol=5.0x | RSI=38.3 | ATR%=0.392%
1770734363,ENTRY,ETHUSDT,SHORT,0.06668254346272938,2007.33,bb_squeeze,Bollinger Squeeze Breakout,,BB squeeze breakout DOWN | BW=1.43% | ATR=0.299%
1770734447,ENTRY,BNBUSDT,SHORT,0.1802575107296117,619.2,adx_di_cross,ADX DI Crossover,,ADX DI Cross SHORT | ADX=29.4↑ | -DI=33.0>17.8 | RSI=33.3 | Vol=3.2x | BBwidth=0.010↑
1770734672,ENTRY,DOGEUSDT,SHORT,649.5615459564794,0.09237,bb_kc_squeeze,BB+Keltner Squeeze Breakout,,BB+KC Squeeze SHORT FIRE | Momentum=-0.00↓ | ADX=18.4 | Vol=4.7x | RSI=28.5 | ATR%=0.426%
1770735870,CLOSE_MAX_AGE,DOGE,SHORT,1628.0,,,,,max_age
1770736020,CLOSE_MAX_AGE,BNB,SHORT,0.18,,,,,max_age
1770739522,ENTRY,DOGEUSDT,SHORT,2160.9940572663427,0.09255,bb_squeeze,Bollinger Squeeze Breakout,,BB squeeze breakout DOWN | BW=0.60% | ATR=0.184%
ts,event,pair,side,qty,price,strategy_id,strategy_name,pnl,note,engine
1770740120,ENTRY,ETHUSDT,LONG,0.09204470742932327,2031.82,bb_squeeze,Bollinger Squeeze Breakout,,BB squeeze breakout UP | BW=1.08% | ATR=0.214%,1m
ts,event,pair,side,qty,price,strategy_id,strategy_name,pnl,note,engine
1770741545,ENTRY,DOGEUSDT,LONG,2140.869192892314,0.09342,bb_squeeze,Bollinger Squeeze Breakout,,BB squeeze breakout UP | BW=0.73% | ATR=0.167%,1m
ts,event,pair,side,qty,price,strategy_id,strategy_name,pnl,note,engine
1770741715,ENTRY_RECOVER,DOGE,LONG,2140.0,0.0934,,,,Recovered open position (strategy unknown),unknown
ts,event,pair,side,qty,price,strategy_id,strategy_name,pnl,note,engine
1770741786,ENTRY_RECOVER,DOGE,,2140.0,,,,,Recovered open position,1m
ts,event,pair,side,qty,price,strategy_id,strategy_name,pnl,note,engine
1770743889,ENTRY,ETHUSDT,LONG,0.09843730773963331,2031.75,bb_squeeze,Bollinger Squeeze Breakout,,BB squeeze breakout UP | BW=0.67% | ATR=0.132%,1m
ts,event,pair,side,qty,price,strategy_id,strategy_name,pnl,note,engine
1770745462,CLOSE_MAX_AGE,ETH,LONG,0.098,,,,,max_age,
ts,event,pair,side,qty,price,strategy_id,strategy_name,pnl,note,engine
1770746814,ENTRY,NEARUSDT,SHORT,112.00000000000199,0.996,bb_kc_squeeze,BB+Keltner Squeeze Breakout,,BB+KC Squeeze SHORT FIRE | Momentum=-0.00↓ | ADX=27.5 | Vol=1.6x | RSI=41.7 | ATR%=0.409%,2h
ts,event,pair,side,qty,price,strategy_id,strategy_name,pnl,note,engine
1770748015,ENTRY,AVAXUSDT,SHORT,22.95684113865932,8.712,bb_squeeze,Bollinger Squeeze Breakout,,BB squeeze breakout DOWN | BW=1.03% | ATR=0.169%,1m
ts,event,pair,side,qty,price,strategy_id,strategy_name,pnl,note,engine
